Name,Price,Make,Model,Year,Condition,Transmission,Exchange,Fuel Type,BodyType,Location,Mileage
2004 Honda Accord ,"1,000,000",Honda,Accord,2001,,Automatic,,Petrol,,Ikorodu,221911
2009 nissan murano ,"1,200,000",Nissan,Murano,2002,,Automatic,,Petrol,,Warri,3000
2013 Toyota camry,"1,300,000",Toyota,Camry,2002,,Automatic,,Petrol,,Lagos,3000
Mercedes,"12,000,000",Mercedes,GLK -class,2015,,Automatic,,Petrol,,Alimosho,3000
2011 Toyota RAV4,"2,300,000",Toyota,RAV4,2003,,Automatic,,Petrol,,Lagos,10000
2004 Toyota Camry ,"1,000,000",Toyota,Camry,2001,,Automatic,,Petrol,,Ibadan,22590
2004 Toyota Camry ,"1,000,000",Toyota,Camry,2001,,Automatic,,Petrol,,Ijesha,122646
2004 Toyota Camry ,"1,000,000",Toyota,Camry,2001,,Automatic,,Petrol,,Calabar,202459
2004 Toyota Camry ,"1,000,000",Toyota,Camry,2001,,Automatic,,Petrol,,Calabar,132647
2004 Toyota Camry ,"1,000,000",Toyota,Camry,2001,,Automatic,,Petrol,,Kokoto,198770
2005 Toyota Sienna Very Neat,"1,000,000",Toyota,Sienna,2002,,Automatic,,Diesel,,Lagos,385241
2011 Toyota Sienna Very Neat,"1,200,000",Toyota,Sienna,2002,,Automatic,,Petrol,,Lagos,64000
2011 Toyota Sienna Very Neat,"1,250,000",Toyota,Sienna,2002,,Automatic,,Petrol,,Lagos,635241
2011 Toyota Sienna Very Neat,"1,300,000",Toyota,Sienna,2002,,Automatic,,Petrol,,Lagos,183514
Clean 2008 Toyota Camry ,"1,350,000",Toyota,Camry,2001,,Automatic,,Petrol,,Dawaki,199551
Clean 2008 Toyota Camry ,"1,350,000",Toyota,Camry,2001,,Automatic,,Petrol,,Calabar,155214
Neat and Clean 2008 Toyota Camry ,"1,350,000",Toyota,Camry,2001,,Automatic,,Petrol,,Ketu,136820
2005 Toyota sienna,"1,200,000",Toyota,Sienna,2001,,Automatic,,Petrol,,Lagos,3000
Clean 2004 Toyota Corolla spot,"1,100,000",Toyota,Corolla,2001,,Automatic,,Petrol,,Uyo,200630
Neat and Clean 2004 Toyota Corolla ,"1,100,000",Toyota,Corolla,2001,,Automatic,,Petrol,,Asaba,158725
2011 toyota corolla,"1,400,000",Toyota,Corolla,2002,,Automatic,,Petrol,,Lagos,3000
Clean 2004 Toyota Sienna ,"1,250,000",Toyota,Sienna,2001,,Automatic,,Petrol,,Agabala,185729
Newly arrived Toyota Camry sport 2010,"1,650,000",Toyota,Camry,2003,,Automatic,,Petrol,,Ode,17100
Toyota camry,"2,700,000",Toyota,Camry,2016,,Automatic,,Petrol,,Abuja,10092
Direct clean Toyota Camry sport 2014,"2,550,000",Toyota,Camry,2003,,Automatic,,Petrol,,Zaria,12100
Super clean direct toks Toyota Camry XLE 2008,"1,560,000",Toyota,Camry,2003,,Automatic,,Petrol,,Ibadan,12000
Just landed direct clean Lexus Rx350 2011,"2,200,000",Lexus,RX,2002,,Automatic,,Petrol,,Harcourt,17100
Very neat Lexus GS300 2005 model,"1,850,000",Lexus,GX,2002,,Automatic,,Petrol,,Lagos,12100
tokumbor Mercedes Benz C300 2008 model for sale,"1,000,000",Mercedes,C -class,2002,,Automatic,,Petrol,,Harcourt,523642
very clean foreign used toyota venza 2015 model for sale,"1,250,000",Toyota,Venza,2002,,Automatic,,Petrol,,Harcourt,523145
direct tokumbor toyota venza 2014 model,"1,500,000",Toyota,Venza,2002,,Automatic,,Petrol,,Lagos,563214
brand new toyota hilux 2018 model for sale,"2,550,000",Toyota,Hilux,2002,,Automatic,,Petrol,,Harcourt,253641
brand new 2014 4x4 toyota hilux for sale,"2,000,000",Toyota,Hilux,2002,,Automatic,,Petrol,,Ibadan,564321
CLEAN TOYOTA CAMRY XLE FOR SALE,"1,600,000",Toyota,Camry,2002,,Automatic,,Petrol,,Lagos,63
direct tokumbor 2014 Honda civic for sale,"1,000,000",Honda,Civic,2002,,Automatic,,Petrol,,Lagos,546312
very clean 2013 Honda Civic for sale,"1,000,000",Honda,Civic,2002,,Automatic,,Petrol,,Minna,532412
 2005 model Nissan for sale,"1,000,000",Nissan,180 SX,2002,,Automatic,,Petrol,,Apapa,458723
